sourceDomainId	actions	targetDomainId	databases	type	drugbankId	uniprotId
drugbank.DB03816			DrugBank	DrugHasTarget	DB03816	P00959
drugbank.DB03817			DrugBank	DrugHasTarget	DB03817	P12488
drugbank.DB03818			DrugBank	DrugHasTarget	DB03818	P0A884
drugbank.DB03820			DrugBank	DrugHasTarget	DB03820	P15555
drugbank.DB03821		410	DrugBank	DrugHasTarget	DB03821	P15289
drugbank.DB03822			DrugBank	DrugHasTarget	DB03822	P0A433
drugbank.DB03822		590	DrugBank	DrugHasTarget	DB03822	P06276
drugbank.DB03824		5409	DrugBank	DrugHasTarget	DB03824	P11086
drugbank.DB03825			DrugBank	DrugHasTarget	DB03825	P0A0N5
drugbank.DB03825			DrugBank	DrugHasTarget	DB03825	P31224
drugbank.DB03827			DrugBank	DrugHasTarget	DB03827	P09598
drugbank.DB03828		6714	DrugBank	DrugHasTarget	DB03828	P12931
drugbank.DB03830			DrugBank	DrugHasTarget	DB03830	P08192
drugbank.DB03832		54677	DrugBank	DrugHasTarget	DB03832	Q9UKG9
drugbank.DB03833			DrugBank	DrugHasTarget	DB03833	O32449
drugbank.DB03834			DrugBank	DrugHasTarget	DB03834	P0AD63
drugbank.DB03835		5837	DrugBank	DrugHasTarget	DB03835	P11217
drugbank.DB03836			DrugBank	DrugHasTarget	DB03836	P00183
drugbank.DB03837		1520	DrugBank	DrugHasTarget	DB03837	P25774
drugbank.DB03840			DrugBank	DrugHasTarget	DB03840	P00282
drugbank.DB03841		7498	DrugBank	DrugHasTarget	DB03841	P47989
drugbank.DB03842			DrugBank	DrugHasTarget	DB03842	P00720
drugbank.DB03843			DrugBank	DrugHasTarget	DB03843	P15555
drugbank.DB03844		760	DrugBank	DrugHasTarget	DB03844	P00918
drugbank.DB03845		1841	DrugBank	DrugHasTarget	DB03845	P23919
drugbank.DB03846			DrugBank	DrugHasTarget	DB03846	P9WKE1
drugbank.DB03847		2147	DrugBank	DrugHasTarget	DB03847	P00734
drugbank.DB03847		632	DrugBank	DrugHasTarget	DB03847	P02818
drugbank.DB03847		2159	DrugBank	DrugHasTarget	DB03847	P00742
drugbank.DB03848		7376	DrugBank	DrugHasTarget	DB03848	P55055
drugbank.DB03849	inhibitor	5144	DrugBank	DrugHasTarget	DB03849	Q08499
drugbank.DB03849	inhibitor	5142	DrugBank	DrugHasTarget	DB03849	Q07343
drugbank.DB03850		58	DrugBank	DrugHasTarget	DB03850	P68133
drugbank.DB03854			DrugBank	DrugHasTarget	DB03854	Q46893
drugbank.DB03855			DrugBank	DrugHasTarget	DB03855	P39304
drugbank.DB03856		4953	DrugBank	DrugHasTarget	DB03856	P11926
drugbank.DB03857			DrugBank	DrugHasTarget	DB03857	P37698
drugbank.DB03859			DrugBank	DrugHasTarget	DB03859	P37700
drugbank.DB03860		2100	DrugBank	DrugHasTarget	DB03860	Q92731
drugbank.DB03861		3074	DrugBank	DrugHasTarget	DB03861	P07686
drugbank.DB03861		10242	DrugBank	DrugHasTarget	DB03861	Q9Y691
drugbank.DB03862			DrugBank	DrugHasTarget	DB03862	O85465
drugbank.DB03862			DrugBank	DrugHasTarget	DB03862	Q08638
drugbank.DB03863			DrugBank	DrugHasTarget	DB03863	Q59288
drugbank.DB03863			DrugBank	DrugHasTarget	DB03863	Q46079
drugbank.DB03864		5550	DrugBank	DrugHasTarget	DB03864	P48147
drugbank.DB03865		2147	DrugBank	DrugHasTarget	DB03865	P00734
drugbank.DB03865		5644	DrugBank	DrugHasTarget	DB03865	P07477
drugbank.DB03865		5328	DrugBank	DrugHasTarget	DB03865	P00749
drugbank.DB03865		3249	DrugBank	DrugHasTarget	DB03865	P05981
drugbank.DB03866		5743	DrugBank	DrugHasTarget	DB03866	P35354
drugbank.DB03867		2936	DrugBank	DrugHasTarget	DB03867	P00390
